case_id,activity,timestamp,resource
1,Order Placed,1996-01-02,Clerk#000000951
1,Shipped,1996-01-29,Clerk#000000951
1,Committed,1996-02-07,Clerk#000000951
1,Received,1996-05-16,Clerk#000000951
2,Order Placed,1996-12-01,Clerk#000000880
2,Committed,1997-01-14,Clerk#000000880
2,Shipped,1997-01-28,Clerk#000000880
2,Received,1997-02-02,Clerk#000000880
3,Order Placed,1993-10-14,Clerk#000000955
3,Shipped,1993-10-29,Clerk#000000955
3,Committed,1993-11-22,Clerk#000000955
3,Received,1994-02-23,Clerk#000000955
4,Order Placed,1995-10-11,Clerk#000000124
4,Committed,1995-12-14,Clerk#000000124
4,Shipped,1996-01-10,Clerk#000000124
4,Received,1996-01-18,Clerk#000000124
5,Order Placed,1994-07-30,Clerk#000000925
5,Shipped,1994-08-08,Clerk#000000925
5,Committed,1994-08-31,Clerk#000000925
5,Received,1994-11-20,Clerk#000000925
6,Order Placed,1992-02-21,Clerk#000000058
6,Shipped,1992-04-27,Clerk#000000058
6,Received,1992-05-02,Clerk#000000058
6,Committed,1992-05-15,Clerk#000000058
7,Order Placed,1996-01-10,Clerk#000000470
7,Shipped,1996-01-15,Clerk#000000470
7,Committed,1996-02-23,Clerk#000000470
7,Received,1996-06-03,Clerk#000000470
32,Order Placed,1995-07-16,Clerk#000000616
32,Shipped,1995-07-21,Clerk#000000616
32,Committed,1995-08-20,Clerk#000000616
32,Received,1995-10-26,Clerk#000000616
33,Order Placed,1993-10-27,Clerk#000000409
33,Shipped,1993-10-29,Clerk#000000409
33,Committed,1993-12-19,Clerk#000000409
33,Received,1993-12-28,Clerk#000000409
34,Order Placed,1998-07-21,Clerk#000000223
34,Committed,1998-09-14,Clerk#000000223
34,Shipped,1998-10-09,Clerk#000000223
34,Received,1998-11-06,Clerk#000000223
35,Order Placed,1995-10-23,Clerk#000000259
35,Shipped,1995-11-08,Clerk#000000259
35,Committed,1995-12-22,Clerk#000000259
35,Received,1996-03-18,Clerk#000000259
36,Order Placed,1995-11-03,Clerk#000000358
36,Committed,1996-01-21,Clerk#000000358
36,Shipped,1996-02-03,Clerk#000000358
36,Received,1996-02-23,Clerk#000000358
37,Order Placed,1992-06-03,Clerk#000000456
37,Shipped,1992-07-02,Clerk#000000456
37,Committed,1992-07-06,Clerk#000000456
37,Received,1992-08-15,Clerk#000000456
38,Order Placed,1996-08-21,Clerk#000000604
38,Shipped,1996-09-29,Clerk#000000604
38,Received,1996-09-30,Clerk#000000604
38,Committed,1996-11-17,Clerk#000000604
39,Order Placed,1996-09-20,Clerk#000000659
39,Shipped,1996-09-26,Clerk#000000659
39,Committed,1996-10-20,Clerk#000000659
39,Received,1997-01-01,Clerk#000000659
64,Order Placed,1994-07-16,Clerk#000000661
64,Committed,1994-09-18,Clerk#000000661
64,Shipped,1994-09-30,Clerk#000000661
64,Received,1994-10-26,Clerk#000000661
65,Order Placed,1995-03-18,Clerk#000000632
65,Shipped,1995-04-20,Clerk#000000632
65,Committed,1995-04-25,Clerk#000000632
65,Received,1995-07-31,Clerk#000000632
66,Order Placed,1994-01-20,Clerk#000000743
66,Shipped,1994-02-19,Clerk#000000743
66,Committed,1994-03-01,Clerk#000000743
66,Received,1994-03-18,Clerk#000000743
67,Order Placed,1996-12-19,Clerk#000000547
67,Shipped,1997-01-25,Clerk#000000547
67,Committed,1997-01-27,Clerk#000000547
67,Received,1997-05-06,Clerk#000000547
68,Order Placed,1998-04-18,Clerk#000000440
68,Committed,1998-05-23,Clerk#000000440
68,Shipped,1998-06-19,Clerk#000000440
68,Received,1998-08-29,Clerk#000000440
69,Order Placed,1994-06-04,Clerk#000000330
69,Shipped,1994-06-06,Clerk#000000330
69,Committed,1994-07-07,Clerk#000000330
69,Received,1994-10-24,Clerk#000000330
70,Order Placed,1993-12-18,Clerk#000000322
70,Shipped,1994-01-12,Clerk#000000322
70,Committed,1994-02-13,Clerk#000000322
70,Received,1994-03-27,Clerk#000000322
71,Order Placed,1998-01-24,Clerk#000000271
71,Shipped,1998-01-29,Clerk#000000271
71,Committed,1998-03-20,Clerk#000000271
71,Received,1998-06-02,Clerk#000000271
96,Order Placed,1994-04-17,Clerk#000000395
96,Committed,1994-05-29,Clerk#000000395
96,Shipped,1994-06-03,Clerk#000000395
96,Received,1994-07-25,Clerk#000000395
97,Order Placed,1993-01-29,Clerk#000000547
97,Committed,1993-03-05,Clerk#000000547
97,Shipped,1993-04-01,Clerk#000000547
97,Received,1993-05-25,Clerk#000000547
98,Order Placed,1994-09-25,Clerk#000000448
98,Shipped,1994-10-23,Clerk#000000448
98,Committed,1994-10-25,Clerk#000000448
98,Received,1995-01-27,Clerk#000000448
99,Order Placed,1994-03-13,Clerk#000000973
99,Committed,1994-04-17,Clerk#000000973
99,Shipped,1994-04-19,Clerk#000000973
99,Received,1994-07-30,Clerk#000000973
100,Order Placed,1998-02-28,Clerk#000000577
100,Shipped,1998-03-06,Clerk#000000577
100,Committed,1998-04-10,Clerk#000000577
100,Received,1998-06-29,Clerk#000000577
101,Order Placed,1996-03-17,Clerk#000000419
101,Shipped,1996-03-29,Clerk#000000419
101,Committed,1996-04-20,Clerk#000000419
101,Received,1996-06-29,Clerk#000000419
102,Order Placed,1997-05-09,Clerk#000000596
102,Shipped,1997-06-02,Clerk#000000596
102,Committed,1997-07-13,Clerk#000000596
102,Received,1997-08-26,Clerk#000000596
103,Order Placed,1996-06-20,Clerk#000000090
103,Committed,1996-07-25,Clerk#000000090
103,Shipped,1996-07-30,Clerk#000000090
103,Received,1996-10-28,Clerk#000000090
128,Order Placed,1992-06-15,Clerk#000000385
128,Committed,1992-08-27,Clerk#000000385
128,Shipped,1992-09-01,Clerk#000000385
128,Received,1992-10-01,Clerk#000000385
129,Order Placed,1992-11-19,Clerk#000000859
129,Shipped,1992-11-25,Clerk#000000859
129,Committed,1992-12-25,Clerk#000000859
129,Received,1993-03-05,Clerk#000000859
130,Order Placed,1992-05-08,Clerk#000000036
130,Committed,1992-06-14,Clerk#000000036
130,Shipped,1992-06-26,Clerk#000000036
130,Received,1992-09-13,Clerk#000000036
131,Order Placed,1994-06-08,Clerk#000000625
131,Committed,1994-08-10,Clerk#000000625
131,Shipped,1994-09-14,Clerk#000000625
131,Received,1994-10-04,Clerk#000000625
132,Order Placed,1993-06-11,Clerk#000000488
132,Shipped,1993-06-16,Clerk#000000488
132,Committed,1993-08-05,Clerk#000000488
132,Received,1993-09-22,Clerk#000000488
133,Order Placed,1997-11-29,Clerk#000000738
133,Shipped,1997-12-02,Clerk#000000738
133,Committed,1998-01-15,Clerk#000000738
133,Received,1998-04-04,Clerk#000000738
134,Order Placed,1992-05-01,Clerk#000000711
134,Committed,1992-06-01,Clerk#000000711
134,Shipped,1992-06-20,Clerk#000000711
134,Received,1992-08-28,Clerk#000000711
135,Order Placed,1995-10-21,Clerk#000000804
135,Shipped,1995-11-12,Clerk#000000804
135,Committed,1995-11-20,Clerk#000000804
135,Received,1996-02-25,Clerk#000000804
160,Order Placed,1996-12-19,Clerk#000000342
160,Shipped,1997-01-31,Clerk#000000342
160,Committed,1997-03-05,Clerk#000000342
160,Received,1997-03-20,Clerk#000000342
161,Order Placed,1994-08-31,Clerk#000000322
161,Committed,1994-11-19,Clerk#000000322
161,Shipped,1994-12-13,Clerk#000000322
161,Received,1994-12-26,Clerk#000000322
162,Order Placed,1995-05-08,Clerk#000000378
162,Committed,1995-06-17,Clerk#000000378
162,Shipped,1995-09-02,Clerk#000000378
162,Received,1995-09-08,Clerk#000000378
163,Order Placed,1997-09-05,Clerk#000000379
163,Shipped,1997-09-19,Clerk#000000379
163,Committed,1997-10-09,Clerk#000000379
163,Received,1998-01-05,Clerk#000000379
164,Order Placed,1992-10-21,Clerk#000000209
164,Shipped,1992-11-03,Clerk#000000209
164,Committed,1992-11-21,Clerk#000000209
164,Received,1993-01-10,Clerk#000000209
165,Order Placed,1993-01-30,Clerk#000000292
165,Shipped,1993-02-20,Clerk#000000292
165,Committed,1993-03-04,Clerk#000000292
165,Received,1993-05-13,Clerk#000000292
166,Order Placed,1995-09-12,Clerk#000000440
166,Committed,1995-10-17,Clerk#000000440
166,Shipped,1995-11-09,Clerk#000000440
166,Received,1996-01-29,Clerk#000000440
167,Order Placed,1993-01-04,Clerk#000000731
167,Committed,1993-02-16,Clerk#000000731
167,Shipped,1993-02-19,Clerk#000000731
167,Received,1993-05-31,Clerk#000000731
192,Order Placed,1997-11-25,Clerk#000000483
192,Committed,1998-01-09,Clerk#000000483
192,Shipped,1998-01-30,Clerk#000000483
